127.0.0.1 - - [09/Jun/2021:12:34:41 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Jun/2021:12:34:42 +0900] "GET /P01_HTML/ex04_a-tag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2021:12:34:42 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Jun/2021:12:36:57 +0900] "GET /P01_HTML/ex04_a-tag.html HTTP/1.1" 200 1377
0:0:0:0:0:0:0:1 - - [09/Jun/2021:12:36:58 +0900] "GET /P01_HTML/ex04_a-tag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2021:12:37:09 +0900] "GET /P01_HTML/ex04_a-tag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2021:12:48:31 +0900] "GET /P01_HTML/ex05_img-tag.html HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [09/Jun/2021:12:48:31 +0900] "GET /P01_HTML/images/img_02.jpg HTTP/1.1" 200 9921
0:0:0:0:0:0:0:1 - - [09/Jun/2021:12:53:06 +0900] "GET /P01_HTML/ex05_img-tag.html HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [09/Jun/2021:12:53:06 +0900] "GET /P01_HTML/images/htm15.jpg HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Jun/2021:12:53:06 +0900] "GET /P01_HTML/images/img_02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2021:12:54:36 +0900] "GET /P01_HTML/ex05_img-tag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2021:12:54:36 +0900] "GET /P01_HTML/images/htm15.jpg HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [09/Jun/2021:12:54:36 +0900] "GET /P01_HTML/images/img_02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2021:12:55:15 +0900] "GET /P01_HTML/ex05_img-tag.html HTTP/1.1" 200 917
0:0:0:0:0:0:0:1 - - [09/Jun/2021:12:55:15 +0900] "GET /P01_HTML/images/html15.jpg HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [09/Jun/2021:12:55:18 +0900] "GET /P01_HTML/ex05_img-tag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2021:12:55:18 +0900] "GET /P01_HTML/images/html15.jpg HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [09/Jun/2021:12:55:19 +0900] "GET /P01_HTML/ex05_img-tag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2021:12:55:19 +0900] "GET /P01_HTML/images/html15.jpg HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [09/Jun/2021:12:55:30 +0900] "GET /P01_HTML/ex05_img-tag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2021:12:55:30 +0900] "GET /P01_HTML/images/html15.jpg HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [09/Jun/2021:12:55:55 +0900] "GET /P01_HTML/ex05_img-tag.html HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [09/Jun/2021:12:55:55 +0900] "GET /P01_HTML/images/img_02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2021:12:55:55 +0900] "GET /P01_HTML/images/html5.jpg HTTP/1.1" 200 10407
0:0:0:0:0:0:0:1 - - [09/Jun/2021:13:02:56 +0900] "GET /P01_HTML/ex05_img-tag.html HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [09/Jun/2021:13:02:56 +0900] "GET /P01_HTML/images/img_02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2021:13:02:56 +0900] "GET /P01_HTML/images/html5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2021:13:02:56 +0900] "GET /P01_HTML/images/%EC%84%B8%EC%A2%85%EB%8C%80%EC%99%95.jpg HTTP/1.1" 200 42516
0:0:0:0:0:0:0:1 - - [09/Jun/2021:13:12:09 +0900] "GET /P01_HTML/ex06_div.html HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [09/Jun/2021:13:15:09 +0900] "GET /P01_HTML/ex06_div.html HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [09/Jun/2021:13:15:54 +0900] "GET /P01_HTML/ex06_div.html HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [09/Jun/2021:13:41:22 +0900] "GET /P01_HTML/ex07_input-text.html HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [09/Jun/2021:13:43:48 +0900] "GET /P01_HTML/ex07_input-text.html HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [09/Jun/2021:13:44:06 +0900] "GET /P01_HTML/ex07_input-text.html HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1 - - [09/Jun/2021:13:44:24 +0900] "GET /P01_HTML/ex07_input-text.html HTTP/1.1" 200 1251
0:0:0:0:0:0:0:1 - - [09/Jun/2021:13:44:27 +0900] "POST /P01_HTML/ex07_input-text.html HTTP/1.1" 200 1251
0:0:0:0:0:0:0:1 - - [09/Jun/2021:13:46:05 +0900] "POST /P01_HTML/ex07_input-text.html HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [09/Jun/2021:13:47:20 +0900] "POST /P01_HTML/ex07_input-text.html HTTP/1.1" 200 1367
0:0:0:0:0:0:0:1 - - [09/Jun/2021:13:47:31 +0900] "POST /P01_HTML/ex07_input-text.html HTTP/1.1" 200 1369
0:0:0:0:0:0:0:1 - - [09/Jun/2021:13:48:21 +0900] "POST /P01_HTML/ex07_input-text.html HTTP/1.1" 200 1379
0:0:0:0:0:0:0:1 - - [09/Jun/2021:13:49:52 +0900] "POST /P01_HTML/ex07_input-text.html HTTP/1.1" 200 1493
0:0:0:0:0:0:0:1 - - [09/Jun/2021:13:50:28 +0900] "POST /P01_HTML/ex07_input-text.html HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [09/Jun/2021:13:50:47 +0900] "POST /P01_HTML/ex07_input-text.html HTTP/1.1" 200 1492
0:0:0:0:0:0:0:1 - - [09/Jun/2021:13:51:53 +0900] "POST /P01_HTML/ex07_input-text.html HTTP/1.1" 200 1525
0:0:0:0:0:0:0:1 - - [09/Jun/2021:13:52:12 +0900] "POST /P01_HTML/ex07_input-text.html HTTP/1.1" 200 1525
0:0:0:0:0:0:0:1 - - [09/Jun/2021:13:52:52 +0900] "POST /P01_HTML/ex07_input-text.html HTTP/1.1" 200 1524
0:0:0:0:0:0:0:1 - - [09/Jun/2021:13:52:58 +0900] "POST /P01_HTML/ex07_input-text.html HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [09/Jun/2021:13:53:27 +0900] "POST /P01_HTML/ex07_input-text.html HTTP/1.1" 200 1524
0:0:0:0:0:0:0:1 - - [09/Jun/2021:13:54:00 +0900] "GET /P01_HTML/ex07_input-text.html?username=test&userpw=1234&memo=%ED%85%8C%EC%8A%A4%ED%8A%B8%EC%9E%85%EB%8B%88%EB%8B%A4 HTTP/1.1" 200 1524
0:0:0:0:0:0:0:1 - - [09/Jun/2021:14:01:39 +0900] "GET /P01_HTML/ex08_check-box.html HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [09/Jun/2021:14:02:16 +0900] "GET /P01_HTML/ex08_check-box.html HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [09/Jun/2021:14:02:48 +0900] "GET /P01_HTML/ex08_check-box.html HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [09/Jun/2021:14:03:19 +0900] "GET /P01_HTML/ex08_check-box.html HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [09/Jun/2021:14:04:53 +0900] "GET /P01_HTML/ex08_check-box.html HTTP/1.1" 200 920
0:0:0:0:0:0:0:1 - - [09/Jun/2021:14:07:38 +0900] "GET /P01_HTML/ex08_check-box.html HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [09/Jun/2021:14:07:56 +0900] "GET /P01_HTML/ex08_check-box.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2021:14:16:25 +0900] "GET /P01_HTML/ex09_input-select.html HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [09/Jun/2021:14:17:26 +0900] "GET /P01_HTML/ex09_input-select.html?telecom=KT HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [09/Jun/2021:14:17:29 +0900] "GET /P01_HTML/ex09_input-select.html?telecom=SKT HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [09/Jun/2021:14:20:26 +0900] "GET /P01_HTML/ex09_input-select.html?telecom=SKT HTTP/1.1" 200 1486
0:0:0:0:0:0:0:1 - - [09/Jun/2021:14:22:54 +0900] "GET /P01_HTML/ex09_input-select.html?telecom=SKT HTTP/1.1" 200 1497
0:0:0:0:0:0:0:1 - - [09/Jun/2021:14:34:16 +0900] "GET /P01_HTML/ex09_input-select.html?telecom=SKT&car_list=%EA%B8%B0%EC%95%84 HTTP/1.1" 200 1497
0:0:0:0:0:0:0:1 - - [09/Jun/2021:14:42:06 +0900] "GET /P01_HTML/ex10_input-file.html HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [09/Jun/2021:14:49:07 +0900] "GET /P01_HTML/quiz_one.html HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [09/Jun/2021:14:49:19 +0900] "GET /P01_HTML/quiz_one.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2021:14:49:22 +0900] "GET /P01_HTML/quiz_one.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2021:14:49:23 +0900] "GET /P01_HTML/quiz_one.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2021:14:49:28 +0900] "GET /P01_HTML/quiz_one.html HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [09/Jun/2021:14:49:43 +0900] "GET /P01_HTML/quiz_one.html HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [09/Jun/2021:14:49:55 +0900] "GET /P01_HTML/quiz_one.html HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [09/Jun/2021:14:51:09 +0900] "GET /P01_HTML/ex08_check-box.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2021:14:56:04 +0900] "GET /P01_HTML/quiz_one.html HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [09/Jun/2021:14:58:47 +0900] "GET /P01_HTML/quiz_one.html HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [09/Jun/2021:15:03:03 +0900] "GET /P01_HTML/ex09_input-select.html HTTP/1.1" 200 1497
0:0:0:0:0:0:0:1 - - [09/Jun/2021:15:06:23 +0900] "GET /P01_HTML/quiz_one.html HTTP/1.1" 200 1528
0:0:0:0:0:0:0:1 - - [09/Jun/2021:15:07:09 +0900] "GET /P01_HTML/quiz_one.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2021:15:08:19 +0900] "GET /P01_HTML/quiz_one.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2021:15:08:23 +0900] "GET /P01_HTML/quiz_one.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2021:15:08:24 +0900] "GET /P01_HTML/quiz_one.html HTTP/1.1" 200 1677
0:0:0:0:0:0:0:1 - - [09/Jun/2021:15:08:33 +0900] "GET /P01_HTML/quiz_one.html HTTP/1.1" 200 1689
0:0:0:0:0:0:0:1 - - [09/Jun/2021:15:08:54 +0900] "GET /P01_HTML/quiz_one.html HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [09/Jun/2021:15:09:09 +0900] "GET /P01_HTML/quiz_one.html HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [09/Jun/2021:15:09:17 +0900] "GET /P01_HTML/quiz_one.html HTTP/1.1" 200 1694
0:0:0:0:0:0:0:1 - - [09/Jun/2021:15:10:41 +0900] "GET /P01_HTML/quiz_one.html HTTP/1.1" 200 1652
0:0:0:0:0:0:0:1 - - [09/Jun/2021:15:10:42 +0900] "GET /P01_HTML/quiz_one.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2021:15:10:42 +0900] "GET /P01_HTML/quiz_one.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2021:15:10:42 +0900] "GET /P01_HTML/quiz_one.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2021:15:12:34 +0900] "GET /P01_HTML/quiz_one.html?username=%EA%B3%A0%EA%B1%B4%EC%9A%B0&userpw=123456&sex=man&hobby=%EC%98%81%ED%99%94%EA%B0%90%EC%83%81&hobby=%EA%B2%8C%EC%9E%84&hobby=%EC%9D%8C%EC%95%85%EB%93%A3%EA%B8%B0&txt=&useremail=shom9936&email=gmail.com&memo=%EA%B0%9C%EA%B5%AC%EB%A6%AC HTTP/1.1" 200 1652
0:0:0:0:0:0:0:1 - - [09/Jun/2021:15:16:00 +0900] "GET /P01_HTML/quiz_one.html?username=%EA%B3%A0%EA%B1%B4%EC%9A%B0&userpw=123456&sex=man&hobby=%EC%98%81%ED%99%94%EA%B0%90%EC%83%81&hobby=%EA%B2%8C%EC%9E%84&hobby=%EC%9D%8C%EC%95%85%EB%93%A3%EA%B8%B0&txt=&useremail=shom9936&email=gmail.com&memo=%EA%B0%9C%EA%B5%AC%EB%A6%AC HTTP/1.1" 200 1690
0:0:0:0:0:0:0:1 - - [09/Jun/2021:15:16:02 +0900] "GET /P01_HTML/quiz_one.html?username=%EA%B3%A0%EA%B1%B4%EC%9A%B0&userpw=123456&sex=man&hobby=%EC%98%81%ED%99%94%EA%B0%90%EC%83%81&hobby=%EA%B2%8C%EC%9E%84&hobby=%EC%9D%8C%EC%95%85%EB%93%A3%EA%B8%B0&txt=&useremail=shom9936&email=gmail.com&memo=%EA%B0%9C%EA%B5%AC%EB%A6%AC HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2021:15:16:02 +0900] "GET /P01_HTML/quiz_one.html?username=%EA%B3%A0%EA%B1%B4%EC%9A%B0&userpw=123456&sex=man&hobby=%EC%98%81%ED%99%94%EA%B0%90%EC%83%81&hobby=%EA%B2%8C%EC%9E%84&hobby=%EC%9D%8C%EC%95%85%EB%93%A3%EA%B8%B0&txt=&useremail=shom9936&email=gmail.com&memo=%EA%B0%9C%EA%B5%AC%EB%A6%AC HTTP/1.1" 304 -
